ts_iso,device,sound_raw,sound_adj,ts_ms_device
2025-10-30T05:10:29.412291,esp32-sound,67,17,6492019
2025-10-30T05:10:32.061386,esp32-sound,66,16,6494673
2025-10-30T05:10:34.621339,esp32-sound,65,15,6497334
2025-10-30T05:10:37.077103,esp32-sound,66,16,6499896
2025-10-30T05:10:39.542107,esp32-sound,66,16,6502354
2025-10-30T05:10:42.110417,esp32-sound,66,16,6504811
2025-10-30T05:10:44.868183,esp32-sound,66,16,6507371
2025-10-30T05:10:47.327706,esp32-sound,67,17,6510138
2025-10-30T05:10:50.764244,esp32-sound,66,16,6512803
2025-10-30T05:10:53.359673,esp32-sound,65,15,6516072
2025-10-30T05:10:56.025801,esp32-sound,66,16,6518639
2025-10-30T05:10:58.493155,esp32-sound,66,16,6521298
2025-10-30T05:11:00.936909,esp32-sound,66,16,6523756
2025-10-30T05:11:03.528505,esp32-sound,66,16,6526214
2025-10-30T05:11:06.228707,esp32-sound,66,16,6528773
2025-10-30T05:11:08.774517,esp32-sound,66,16,6531537
2025-10-30T05:11:11.680596,esp32-sound,66,16,6534097
2025-10-30T05:11:14.337539,esp32-sound,67,17,6536963
2025-10-30T05:11:17.326500,esp32-sound,66,16,6539628
2025-10-30T05:11:20.072084,esp32-sound,66,16,6542574
2025-10-30T05:11:22.958543,esp32-sound,66,16,6545359
2025-10-30T05:11:25.419885,esp32-sound,67,17,6548232
2025-10-30T05:11:28.004295,esp32-sound,66,16,6550687
2025-10-30T05:11:30.841226,esp32-sound,67,17,6553248
2025-10-30T05:11:33.544375,esp32-sound,66,16,6556218
2025-10-30T05:11:36.164661,esp32-sound,66,16,6558877
2025-10-30T05:11:38.828671,esp32-sound,66,16,6561440
2025-10-30T05:11:41.538803,esp32-sound,66,16,6564104
2025-10-30T05:11:44.486256,esp32-sound,66,16,6566972
2025-10-30T05:11:47.260181,esp32-sound,67,17,6569833
2025-10-30T05:11:50.422381,esp32-sound,66,16,6572704
2025-10-30T05:11:53.209618,esp32-sound,67,17,6575774
2025-10-30T05:11:56.110447,esp32-sound,67,17,6578536
2025-10-30T05:11:59.007147,esp32-sound,67,17,6581411
2025-10-30T05:12:01.803166,esp32-sound,66,16,6584377
2025-10-30T05:12:04.634584,esp32-sound,66,16,6587348
2025-10-30T05:12:07.404128,esp32-sound,66,16,6589907
2025-10-30T05:12:10.496510,esp32-sound,65,15,6592648
2025-10-30T05:12:13.284693,esp32-sound,67,17,6595954
2025-10-30T05:12:16.326479,esp32-sound,66,16,6598610
2025-10-30T05:12:18.914947,esp32-sound,66,16,6601687
2025-10-30T05:12:21.738540,esp32-sound,66,16,6604353
2025-10-30T05:12:24.274784,esp32-sound,66,16,6607009
2025-10-30T05:12:26.654140,esp32-sound,66,16,6609569
2025-10-30T05:12:29.330739,esp32-sound,67,17,6611921
2025-10-30T05:12:32.208178,esp32-sound,66,16,6614685
2025-10-30T05:12:34.828288,esp32-sound,66,16,6617759
2025-10-30T05:12:37.509684,esp32-sound,65,15,6620113
2025-10-30T05:12:40.164794,esp32-sound,66,16,6622779
2025-10-30T05:12:42.628334,esp32-sound,66,16,6625541
2025-10-30T05:12:45.311467,esp32-sound,66,16,6627901
2025-10-30T05:12:47.852212,esp32-sound,66,16,6630562
2025-10-30T05:12:50.320565,esp32-sound,66,16,6633122
2025-10-30T05:12:52.761093,esp32-sound,66,16,6635680
2025-10-30T05:12:55.203219,esp32-sound,66,16,6638039
2025-10-30T05:12:57.572862,esp32-sound,65,15,6640497
2025-10-30T05:13:00.241344,esp32-sound,66,16,6642852
2025-10-30T05:13:02.803791,esp32-sound,66,16,6645493
2025-10-30T05:13:05.258522,esp32-sound,67,17,6648174
2025-10-30T05:13:08.021663,esp32-sound,66,16,6650532
2025-10-30T05:13:10.666364,esp32-sound,67,17,6653292
2025-10-30T05:13:13.043167,esp32-sound,67,17,6655960
2025-10-30T05:13:15.647887,esp32-sound,66,16,6658315
2025-10-30T05:13:18.163000,esp32-sound,66,16,6660974
2025-10-30T05:13:20.843043,esp32-sound,66,16,6663433
2025-10-30T05:13:23.487767,esp32-sound,66,16,6666094
2025-10-30T05:13:26.149068,esp32-sound,66,16,6668758
2025-10-30T05:13:28.807844,esp32-sound,66,16,6671520
2025-10-30T05:13:31.498772,esp32-sound,66,16,6674085
2025-10-30T05:13:34.132790,esp32-sound,66,16,6676843
2025-10-30T05:13:37.213794,esp32-sound,66,16,6679818
2025-10-30T05:13:39.670539,esp32-sound,66,16,6682480
2025-10-30T05:13:42.004556,esp32-sound,66,16,6684940
2025-10-30T05:13:45.611111,esp32-sound,67,17,6687295
2025-10-30T05:13:48.180387,esp32-sound,66,16,6690984
2025-10-30T05:13:50.539617,esp32-sound,66,16,6693439
2025-10-30T05:13:53.291255,esp32-sound,66,16,6695891
2025-10-30T05:13:55.852414,esp32-sound,66,16,6698658
2025-10-30T05:13:58.614652,esp32-sound,67,17,6701117
2025-10-30T05:14:01.281705,esp32-sound,66,16,6703883
2025-10-30T05:14:03.752146,esp32-sound,66,16,6706545
2025-10-30T05:14:06.375244,esp32-sound,65,15,6709104
2025-10-30T05:14:09.261970,esp32-sound,66,16,6711665
2025-10-30T05:14:11.996544,esp32-sound,66,16,6714528
2025-10-30T05:14:14.805460,esp32-sound,66,16,6717395
2025-10-30T05:14:17.463307,esp32-sound,67,17,6720271
2025-10-30T05:14:20.062085,esp32-sound,67,17,6722703
2025-10-30T05:14:22.786127,esp32-sound,66,16,6725493
2025-10-30T05:14:26.023276,esp32-sound,66,16,6728250
2025-10-30T05:14:28.822751,esp32-sound,66,16,6731429
2025-10-30T05:14:31.597091,esp32-sound,67,17,6734069
2025-10-30T05:14:34.250844,esp32-sound,67,17,6736961
2025-10-30T05:14:36.809886,esp32-sound,66,16,6739520
2025-10-30T05:14:39.382314,esp32-sound,66,16,6742079
2025-10-30T05:14:42.305813,esp32-sound,66,16,6744738
2025-10-30T05:14:44.898491,esp32-sound,66,16,6747811
2025-10-30T05:14:47.683175,esp32-sound,66,16,6750170
2025-10-30T05:14:50.420910,esp32-sound,67,17,6752931
2025-10-30T05:14:53.148972,esp32-sound,66,16,6755798
2025-10-30T05:14:55.669901,esp32-sound,66,16,6758562
2025-10-30T05:14:58.414895,esp32-sound,67,17,6761023
2025-10-30T05:15:01.113922,esp32-sound,66,16,6763683
2025-10-30T05:15:04.056953,esp32-sound,66,16,6766448
2025-10-30T05:15:06.965848,esp32-sound,66,16,6769425
2025-10-30T05:15:09.986234,esp32-sound,67,17,6772490
2025-10-30T05:15:12.629387,esp32-sound,66,16,6775356
